Movie Name,Movie Stars
Parasite (2019) ,Song Kang-Ho
Parasite (2019) ,Lee Sun-kyun
Parasite (2019) ,Cho Yeo-jeong
Uncut Gems (2019) ,Adam Sandler
Uncut Gems (2019) ,Julia Fox
Uncut Gems (2019) ,Idina Menzel
Portrait of a Lady on Fire (2019) ,Noémie Merlant
Portrait of a Lady on Fire (2019) ,Adèle Haenel
Portrait of a Lady on Fire (2019) ,Luàna Bajrami
Midsommar (2019) ,Florence Pugh
Midsommar (2019) ,Jack Reynor
Midsommar (2019) ,Vilhelm Blomgren
Joker (2019) ,Joaquin Phoenix
Joker (2019) ,Robert De Niro
Joker (2019) ,Zazie Beetz
The Farewell (2019) ,Shuzhen Zhao
The Farewell (2019) ,Awkwafina
The Farewell (2019) ,X Mayo
First Love (2019) ,Becky
First Love (2019) ,Bengal
First Love (2019) ,Masayuki Deai
Waves (2019) ,Kelvin Harrison Jr.
Waves (2019) ,Lucas Hedges
Waves (2019) ,Taylor Russell
Les Misérables (2019) ,Damien Bonnard
Les Misérables (2019) ,Alexis Manenti
Les Misérables (2019) ,Djebril Zonga
Le Mans '66 (2019) ,Matt Damon
Le Mans '66 (2019) ,Christian Bale
Le Mans '66 (2019) ,Jon Bernthal
Marriage Story (2019) ,Adam Driver
Marriage Story (2019) ,Scarlett Johansson
Marriage Story (2019) ,Julia Greer
Hotel Mumbai (2018) ,Dev Patel
Hotel Mumbai (2018) ,Armie Hammer
Hotel Mumbai (2018) ,Nazanin Boniadi
System Crasher (2019) ,Helena Zengel
System Crasher (2019) ,Albrecht Schuch
System Crasher (2019) ,Gabriela Maria Schmeide
El Camino: A Breaking Bad Movie (2019) ,Aaron Paul
El Camino: A Breaking Bad Movie (2019) ,Jonathan Banks
El Camino: A Breaking Bad Movie (2019) ,Matt Jones
The Peanut Butter Falcon (2019) ,Zack Gottsagen
The Peanut Butter Falcon (2019) ,Ann Owens
The Peanut Butter Falcon (2019) ,Dakota Johnson
I Lost My Body (2019) ,Hakim Faris
I Lost My Body (2019) ,Victoire Du Bois
I Lost My Body (2019) ,Patrick d'Assumçao
The Irishman (2019) ,Robert De Niro
The Irishman (2019) ,Al Pacino
The Irishman (2019) ,Joe Pesci
1917 (2019) ,Dean-Charles Chapman
1917 (2019) ,George MacKay
1917 (2019) ,Daniel Mays
Ad Astra (2019) ,Brad Pitt
Ad Astra (2019) ,Tommy Lee Jones
Ad Astra (2019) ,Ruth Negga
Doctor Sleep (2019) ,Ewan McGregor
Doctor Sleep (2019) ,Rebecca Ferguson
Doctor Sleep (2019) ,Kyliegh Curran
Just Mercy (2019) ,Michael B. Jordan
Just Mercy (2019) ,Jamie Foxx
Just Mercy (2019) ,Brie Larson
The Nightingale (2018) ,Aisling Franciosi
The Nightingale (2018) ,Baykali Ganambarr
The Nightingale (2018) ,Damon Herriman
The Art of Self-Defense (2019) ,Jesse Eisenberg
The Art of Self-Defense (2019) ,Alessandro Nivola
The Art of Self-Defense (2019) ,Imogen Poots
Shazam! (2019) ,Zachary Levi
Shazam! (2019) ,Mark Strong
Shazam! (2019) ,Asher Angel
Honey Boy (2019) ,Shia LaBeouf
Honey Boy (2019) ,Lucas Hedges
Honey Boy (2019) ,Noah Jupe
Dolemite Is My Name (2019) ,Eddie Murphy
Dolemite Is My Name (2019) ,Keegan-Michael Key
Dolemite Is My Name (2019) ,Mike Epps
"Love, Antosha (2019) ",Anton Yelchin
"Love, Antosha (2019) ",J.J. Abrams
"Love, Antosha (2019) ",Sofia Boutella
Queen & Slim (2019) ,Daniel Kaluuya
Queen & Slim (2019) ,Jodie Turner-Smith
Queen & Slim (2019) ,Bokeem Woodbine
Arctic (2018) ,Mads Mikkelsen
Arctic (2018) ,Maria Thelma Smáradóttir
Arctic (2018) ,Tintrinai Thikhasuk
Furie (2019) ,Veronica Ngo
Furie (2019) ,Mai Cát Vi
Furie (2019) ,Thanh Nhien Phan
The Lighthouse (2019) ,Robert Pattinson
The Lighthouse (2019) ,Willem Dafoe
The Lighthouse (2019) ,Valeriia Karaman
Triple Frontier (2019) ,Ben Affleck
Triple Frontier (2019) ,Oscar Isaac
Triple Frontier (2019) ,Charlie Hunnam
Richard Jewell (2019) ,Paul Walter Hauser
Richard Jewell (2019) ,Sam Rockwell
Richard Jewell (2019) ,Brandon Stanley
Little Monsters (2019) ,Lupita Nyong'o
Little Monsters (2019) ,Alexander England
Little Monsters (2019) ,Josh Gad
Luce (2019) ,Naomi Watts
Luce (2019) ,Octavia Spencer
Luce (2019) ,Kelvin Harrison Jr.
The King (2019) ,Tom Glynn-Carney
The King (2019) ,Gábor Czap
The King (2019) ,Tom Fisher
Come to Daddy (2019) ,Elijah Wood
Come to Daddy (2019) ,Stephen McHattie
Come to Daddy (2019) ,Garfield Wilson
Monos (2019) ,Sofia Buenaventura
Monos (2019) ,Julián Giraldo
Monos (2019) ,Karen Quintero
Us (2019) ,Lupita Nyong'o
Us (2019) ,Winston Duke
Us (2019) ,Elisabeth Moss
Knives Out (2019) ,Daniel Craig
Knives Out (2019) ,Chris Evans
Knives Out (2019) ,Ana de Armas
Villains (2019) ,Bill Skarsgård
Villains (2019) ,Maika Monroe
Villains (2019) ,Blake Baumgartner
Spider-Man: Far from Home (2019) ,Tom Holland
Spider-Man: Far from Home (2019) ,Samuel L. Jackson
Spider-Man: Far from Home (2019) ,Jake Gyllenhaal
Avengers: Endgame (2019) ,Robert Downey Jr.
Avengers: Endgame (2019) ,Chris Evans
Avengers: Endgame (2019) ,Mark Ruffalo
High Flying Bird (2019) ,André Holland
High Flying Bird (2019) ,Melvin Gregg
High Flying Bird (2019) ,Eddie Tavares
I Am Mother (2019) ,Rose Byrne
I Am Mother (2019) ,Maddie Lenton
I Am Mother (2019) ,Luke Hawker
Fighting with My Family (2019) ,Dwayne Johnson
Fighting with My Family (2019) ,Lena Headey
Fighting with My Family (2019) ,Vince Vaughn
Booksmart (2019) ,Kaitlyn Dever
Booksmart (2019) ,Beanie Feldstein
Booksmart (2019) ,Jessica Williams
John Wick: Chapter 3 - Parabellum (2019) ,Keanu Reeves
John Wick: Chapter 3 - Parabellum (2019) ,Halle Berry
John Wick: Chapter 3 - Parabellum (2019) ,Ian McShane
Godzilla: King of the Monsters (2019) ,Kyle Chandler
Godzilla: King of the Monsters (2019) ,Vera Farmiga
Godzilla: King of the Monsters (2019) ,Millie Bobby Brown
Always Be My Maybe (2019) ,Ali Wong
Always Be My Maybe (2019) ,Randall Park
Always Be My Maybe (2019) ,James Saito
Avengers: Infinity War (2018) ,Robert Downey Jr.
Avengers: Infinity War (2018) ,Chris Hemsworth
Avengers: Infinity War (2018) ,Mark Ruffalo
The Favourite (2018) ,Olivia Colman
The Favourite (2018) ,Emma Stone
The Favourite (2018) ,Rachel Weisz
Eighth Grade (2018) ,Elsie Fisher
Eighth Grade (2018) ,Josh Hamilton
Eighth Grade (2018) ,Emily Robinson
A Star Is Born (2018) ,Lady Gaga
A Star Is Born (2018) ,Bradley Cooper
A Star Is Born (2018) ,Sam Elliott
Hereditary (2018) ,Toni Collette
Hereditary (2018) ,Milly Shapiro
Hereditary (2018) ,Gabriel Byrne
A Quiet Place (2018) ,Emily Blunt
A Quiet Place (2018) ,John Krasinski
A Quiet Place (2018) ,Millicent Simmonds
BlacKkKlansman (2018) ,John David Washington
BlacKkKlansman (2018) ,Adam Driver
BlacKkKlansman (2018) ,Laura Harrier
Mission: Impossible - Fallout (2018) ,Tom Cruise
Mission: Impossible - Fallout (2018) ,Henry Cavill
Mission: Impossible - Fallout (2018) ,Ving Rhames
Spider-Man: Into the Spider-Verse (2018) ,Shameik Moore
Spider-Man: Into the Spider-Verse (2018) ,Jake Johnson
Spider-Man: Into the Spider-Verse (2018) ,Hailee Steinfeld
Aquaman (2018) ,Jason Momoa
Aquaman (2018) ,Amber Heard
Aquaman (2018) ,Willem Dafoe
Bad Times at the El Royale (2018) ,Jeff Bridges
Bad Times at the El Royale (2018) ,Cynthia Erivo
Bad Times at the El Royale (2018) ,Dakota Johnson
If Beale Street Could Talk (2018) ,KiKi Layne
If Beale Street Could Talk (2018) ,Stephan James
If Beale Street Could Talk (2018) ,Regina King
Deadpool 2 (2018) ,Ryan Reynolds
Deadpool 2 (2018) ,Josh Brolin
Deadpool 2 (2018) ,Morena Baccarin
Beautiful Boy (2018) ,Steve Carell
Beautiful Boy (2018) ,Maura Tierney
Beautiful Boy (2018) ,Jack Dylan Grazer
Vice (2018) ,Christian Bale
Vice (2018) ,Amy Adams
Vice (2018) ,Steve Carell
First Reformed (2017) ,Ethan Hawke
First Reformed (2017) ,Amanda Seyfried
First Reformed (2017) ,Cedric the Entertainer
Blindspotting (2018) ,Daveed Diggs
Blindspotting (2018) ,Rafael Casal
Blindspotting (2018) ,Janina Gavankar
Annihilation (2018) ,Natalie Portman
Annihilation (2018) ,Jennifer Jason Leigh
Annihilation (2018) ,Tessa Thompson
Upgrade (2018) ,Logan Marshall-Green
Upgrade (2018) ,Melanie Vallejo
Upgrade (2018) ,Steve Danielsen
The Incredibles 2 (2018) ,Craig T. Nelson
The Incredibles 2 (2018) ,Holly Hunter
The Incredibles 2 (2018) ,Sarah Vowell
Black Panther (2018) ,Chadwick Boseman
Black Panther (2018) ,Michael B. Jordan
Black Panther (2018) ,Lupita Nyong'o
The Old Man & The Gun (2018) ,Robert Redford
The Old Man & The Gun (2018) ,Casey Affleck
The Old Man & The Gun (2018) ,Sissy Spacek
"Don't Worry, He Won't Get Far on Foot (2018) ",Joaquin Phoenix
"Don't Worry, He Won't Get Far on Foot (2018) ",Jonah Hill
"Don't Worry, He Won't Get Far on Foot (2018) ",Rooney Mara
Sorry to Bother You (2018) ,LaKeith Stanfield
Sorry to Bother You (2018) ,Tessa Thompson
Sorry to Bother You (2018) ,Jermaine Fowler
Mid90s (2018) ,Sunny Suljic
Mid90s (2018) ,Katherine Waterston
Mid90s (2018) ,Lucas Hedges
Can You Ever Forgive Me? (2018) ,Melissa McCarthy
Can You Ever Forgive Me? (2018) ,Richard E. Grant
Can You Ever Forgive Me? (2018) ,Dolly Wells
Instant Family (2018) ,Mark Wahlberg
Instant Family (2018) ,Rose Byrne
Instant Family (2018) ,Isabela Merced
Ant-Man and the Wasp (2018) ,Paul Rudd
Ant-Man and the Wasp (2018) ,Evangeline Lilly
Ant-Man and the Wasp (2018) ,Michael Peña
Widows (2018) ,Viola Davis
Widows (2018) ,Michelle Rodriguez
Widows (2018) ,Elizabeth Debicki
The Mule (2018) ,Clint Eastwood
The Mule (2018) ,Patrick L. Reyes
The Mule (2018) ,Cesar De León
You Were Never Really Here (2017) ,Joaquin Phoenix
You Were Never Really Here (2017) ,Judith Roberts
You Were Never Really Here (2017) ,Ekaterina Samsonov
Boy Erased (2018) ,Lucas Hedges
Boy Erased (2018) ,Nicole Kidman
Boy Erased (2018) ,Joel Edgerton
Ben Is Back (2018) ,Julia Roberts
Ben Is Back (2018) ,Lucas Hedges
Ben Is Back (2018) ,Courtney B. Vance
Bird Box (2018) ,Sandra Bullock
Bird Box (2018) ,Trevante Rhodes
Bird Box (2018) ,John Malkovich
Sicario 2: Soldado (2018) ,Benicio Del Toro
Sicario 2: Soldado (2018) ,Josh Brolin
Sicario 2: Soldado (2018) ,Isabela Merced
"Love, Simon (2018) ",Nick Robinson
"Love, Simon (2018) ",Jennifer Garner
"Love, Simon (2018) ",Josh Duhamel
Green Book (2018) ,Viggo Mortensen
Green Book (2018) ,Mahershala Ali
Green Book (2018) ,Linda Cardellini
Creed II (2018) ,Michael B. Jordan
Creed II (2018) ,Sylvester Stallone
Creed II (2018) ,Tessa Thompson
White Boy Rick (2018) ,Matthew McConaughey
White Boy Rick (2018) ,Richie Merritt
White Boy Rick (2018) ,Bel Powley
Hostiles (2017) ,Scott Shepherd
Hostiles (2017) ,Rosamund Pike
Hostiles (2017) ,Ava Cooper
Bohemian Rhapsody (2018) ,Rami Malek
Bohemian Rhapsody (2018) ,Lucy Boynton
Bohemian Rhapsody (2018) ,Gwilym Lee
Ready Player One (2018) ,Tye Sheridan
Ready Player One (2018) ,Olivia Cooke
Ready Player One (2018) ,Ben Mendelsohn
Game Night (2018) ,Jason Bateman
Game Night (2018) ,Rachel McAdams
Game Night (2018) ,Kyle Chandler
Mandy (2018) ,Nicolas Cage
Mandy (2018) ,Andrea Riseborough
Mandy (2018) ,Linus Roache
Solo: A Star Wars Story (2018) ,Alden Ehrenreich
Solo: A Star Wars Story (2018) ,Woody Harrelson
Solo: A Star Wars Story (2018) ,Emilia Clarke
The Meg (2018) ,Jason Statham
The Meg (2018) ,Bingbing Li
The Meg (2018) ,Rainn Wilson
Tag (2018) ,Jeremy Renner
Tag (2018) ,Ed Helms
Tag (2018) ,Jake Johnson
Blockers (2018) ,Leslie Mann
Blockers (2018) ,John Cena
Blockers (2018) ,Ike Barinholtz
Mile 22 (2018) ,Mark Wahlberg
Mile 22 (2018) ,Lauren Cohan
Mile 22 (2018) ,Iko Uwais
"Three Billboards Outside Ebbing, Missouri (2017) ",Frances McDormand
"Three Billboards Outside Ebbing, Missouri (2017) ",Woody Harrelson
"Three Billboards Outside Ebbing, Missouri (2017) ",Sam Rockwell
Get Out (2017) ,Daniel Kaluuya
Get Out (2017) ,Allison Williams
Get Out (2017) ,Bradley Whitford
The Florida Project (2017) ,Brooklynn Prince
The Florida Project (2017) ,Bria Vinaite
The Florida Project (2017) ,Willem Dafoe
John Wick: Chapter 2 (2017) ,Keanu Reeves
John Wick: Chapter 2 (2017) ,Riccardo Scamarcio
John Wick: Chapter 2 (2017) ,Ian McShane
Lady Bird (2017) ,Saoirse Ronan
Lady Bird (2017) ,Laurie Metcalf
Lady Bird (2017) ,Tracy Letts
The Shape of Water (2017) ,Sally Hawkins
The Shape of Water (2017) ,Octavia Spencer
The Shape of Water (2017) ,Michael Shannon
Mother! (2017) ,Jennifer Lawrence
Mother! (2017) ,Javier Bardem
Mother! (2017) ,Ed Harris
Good Time (2017) ,Robert Pattinson
Good Time (2017) ,Benny Safdie
Good Time (2017) ,Jennifer Jason Leigh
Split (2016) ,James McAvoy
Split (2016) ,Anya Taylor-Joy
Split (2016) ,Haley Lu Richardson
Logan (2017) ,Hugh Jackman
Logan (2017) ,Patrick Stewart
Logan (2017) ,Dafne Keen
Call Me by Your Name (2017) ,Armie Hammer
Call Me by Your Name (2017) ,Timothée Chalamet
Call Me by Your Name (2017) ,Michael Stuhlbarg
Brawl in Cell Block 99 (2017) ,Vince Vaughn
Brawl in Cell Block 99 (2017) ,Jennifer Carpenter
Brawl in Cell Block 99 (2017) ,Don Johnson
Star Wars: Episode VIII - The Last Jedi (2017) ,Daisy Ridley
Star Wars: Episode VIII - The Last Jedi (2017) ,John Boyega
Star Wars: Episode VIII - The Last Jedi (2017) ,Mark Hamill
The Disaster Artist (2017) ,James Franco
The Disaster Artist (2017) ,Dave Franco
The Disaster Artist (2017) ,Ari Graynor
Blade Runner 2049 (2017) ,Harrison Ford
Blade Runner 2049 (2017) ,Ryan Gosling
Blade Runner 2049 (2017) ,Ana de Armas
War for the Planet of the Apes (2017) ,Andy Serkis
War for the Planet of the Apes (2017) ,Woody Harrelson
War for the Planet of the Apes (2017) ,Steve Zahn
Thor: Ragnarok (2017) ,Chris Hemsworth
Thor: Ragnarok (2017) ,Tom Hiddleston
Thor: Ragnarok (2017) ,Cate Blanchett
Baby Driver (2017) ,Ansel Elgort
Baby Driver (2017) ,Jon Bernthal
Baby Driver (2017) ,Jon Hamm
Logan Lucky (2017) ,Channing Tatum
Logan Lucky (2017) ,Adam Driver
Logan Lucky (2017) ,Daniel Craig
Detroit (2017) ,John Boyega
Detroit (2017) ,Anthony Mackie
Detroit (2017) ,Algee Smith
Ingrid Goes West (2017) ,Aubrey Plaza
Ingrid Goes West (2017) ,Elizabeth Olsen
Ingrid Goes West (2017) ,O'Shea Jackson Jr.
American Made (2017) ,Tom Cruise
American Made (2017) ,Domhnall Gleeson
American Made (2017) ,Sarah Wright
Dunkirk (2017) ,Fionn Whitehead
Dunkirk (2017) ,Barry Keoghan
Dunkirk (2017) ,Mark Rylance
"I, Tonya (2017) ",Margot Robbie
"I, Tonya (2017) ",Sebastian Stan
"I, Tonya (2017) ",Allison Janney
Wind River (2017) ,Kelsey Asbille
Wind River (2017) ,Jeremy Renner
Wind River (2017) ,Julia Jones
Spider-Man: Homecoming (2017) ,Tom Holland
Spider-Man: Homecoming (2017) ,Michael Keaton
Spider-Man: Homecoming (2017) ,Robert Downey Jr.
